As at 31 March...,Geo code,Force Name,Region,Gender,Rank description,Worker type,Ethnicity,Ethnic group,Total (headcount),Total (FTE),,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000013,Cleveland,North East,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000013,Cleveland,North East,Male,Chief Officer,Police Officer,White,White,2,2,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000002,Cumbria,North West,Female,Chief Officer,Police Officer,White,White,1,1,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000002,Cumbria,North West,Male,Chief Officer,Police Officer,White,White,2,2,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000018,Derbyshire,East Midlands,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000018,Derbyshire,East Midlands,Male,Chief Officer,Police Officer,White,White,5,5,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000035,Devon & Cornwall,South West,Female,Chief Officer,Police Officer,White,White,1,1,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000035,Devon & Cornwall,South West,Male,Chief Officer,Police Officer,White,White,3,3,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000039,Dorset,South West,Female,Chief Officer,Police Officer,White,White,1,1,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000039,Dorset,South West,Male,Chief Officer,Police Officer,White,White,2,2,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
2003,E23000008,Durham,North East,Female,Chief Officer,Police Officer,White,White,0,0,,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic",0,0,,,
2003,E23000008,Durham,North East,Male,Chief Officer,Police Officer,Not stated,Not stated,0,0,,,
