As at 31 March...,Geo code,Force Name,Region,Gender,Rank description,Worker type,Ethnicity,Ethnic group,Total (headcount),Total (FTE)
2003,E23000036,Avon & Somerset,South West,Male,Chief Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Inspector,Police Officer,White,White, 30 , 30 
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Chief Superintendent,Police Officer,White,White, 14 , 14 
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 4 , 4 
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 13 , 13 
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", 12 , 12 
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Constable,Police Officer,White,White," 1,976 "," 1,973 "
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Inspector,Police Officer,White,White, 149 , 149 
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 2 , 2 
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", 3 , 3 
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Sergeant,Police Officer,White,White, 427 , 427 
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000036,Avon & Somerset,South West,Male,Superintendent,Police Officer,White,White, 8 , 8 
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Officer,Police Officer,White,White, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Inspector,Police Officer,White,White, 3 , 3 
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Chief Superintendent,Police Officer,White,White, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 6 , 6 
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 2 , 2 
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,Mixed,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,Not stated,Not stated, 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Female,Constable,Police Officer,White,White, 206 , 195 
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Inspector,Police Officer,White,White, 4 , 4 
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Sergeant,Police Officer,White,White, 19 , 18 
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Female,Superintendent,Police Officer,White,White, 3 , 3 
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Officer,Police Officer,White,White, 3 , 3 
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Inspector,Police Officer,White,White, 11 , 11 
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Male,Chief Superintendent,Police Officer,White,White, 5 , 5 
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 17 , 17 
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 7 , 7 
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,Mixed,"Black, Asian and Minority Ethnic", 12 , 12 
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,Not stated,Not stated, 10 , 10 
2003,E23000026,Bedfordshire,Eastern,Male,Constable,Police Officer,White,White, 646 , 645 
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,Mixed,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,Not stated,Not stated, -, -
2003,E23000026,Bedfordshire,Eastern,Male,Inspector,Police Officer,White,White, 50 , 50 
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,Mixed,"Black, Asian and Minority Ethnic", 3 , 3 
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,Not stated,Not stated, 3 , 3 
2003,E23000026,Bedfordshire,Eastern,Male,Sergeant,Police Officer,White,White, 111 , 111 
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,Chinese or Other Ethnic Group (pre 2021 category),"Black, Asian and Minority Ethnic", -, -
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,Mixed,"Black, Asian and Minority Ethnic", 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,Not stated,Not stated, 1 , 1 
2003,E23000026,Bedfordshire,Eastern,Male,Superintendent,Police Officer,White,White, 5 , 5 
2003,E23000023,Cambridgeshire,Eastern,Female,Chief Officer,Police Officer,Asian or Asian British,"Black, Asian and Minority Ethnic", -, -
2003,E23000023,Cambridgeshire,Eastern,Female,Chief Officer,Police Officer,Black or Black British,"Black, Asian and Minority Ethnic", -, -
